Access_Point_Name,BSSID-MAC,SSID-2.4_and_5
wap-0563-158,44:12:44:6d:49:b1,eduroam
wap-0563-158,44:12:44:6d:49:90,IllinoisNet
wap-0563-158,44:12:44:6d:49:91,eduroam
wap-0563-158,44:12:44:6d:49:92,IllinoisNet_Guest
wap-0563-159,44:12:44:6a:63:c0,IllinoisNet
wap-0563-159,44:12:44:6a:63:c2,IllinoisNet_Guest
wap-0563-159,44:12:44:6a:63:c1,eduroam
wap-0563-159,44:12:44:6a:63:a2,IllinoisNet_Guest
wap-0563-159,44:12:44:6a:63:a1,eduroam
wap-0563-159,44:12:44:6a:63:a0,IllinoisNet
wap-0563-16,44:12:44:6b:91:d2,IllinoisNet_Guest
wap-0563-16,44:12:44:6b:91:d1,eduroam
wap-0563-16,44:12:44:6b:91:d0,IllinoisNet
wap-0563-16,44:12:44:6b:91:b2,IllinoisNet_Guest
wap-0563-16,44:12:44:6b:91:b1,eduroam
wap-0563-16,44:12:44:6b:91:b0,IllinoisNet
wap-0563-160,44:12:44:6b:ce:c0,IllinoisNet
